,X,Y,labels
0,-122.466204668,37.7725405392,2
1,-122.403404791,37.7754207067,4
2,-122.48503873,37.7612911364,2
3,-122.409660752,37.7864394525,4
4,-122.417955822,37.7578801214,0
5,-122.410699658,37.7869881885,4
6,-122.410699658,37.7869881885,4
7,-122.410699658,37.7869881885,4
8,-122.417817853,37.7578884408,0
9,-122.388379874,37.7833104067,4
10,-122.388379874,37.7833104067,4
11,-122.388379874,37.7833104067,4
12,-122.388379874,37.7833104067,4
13,-122.388379874,37.7833104067,4
14,-122.388379874,37.7833104067,4
15,-122.403404791,37.7754207067,4
16,-122.403404791,37.7754207067,4
17,-122.388379874,37.7833104067,4
18,-122.388379874,37.7833104067,4
19,-122.388379874,37.7833104067,4
20,-122.388379874,37.7833104067,4
21,-122.405941469,37.790463178,4
22,-122.407114491,37.7899019823,4
23,-122.411747372,37.7859988324,1
24,-122.426508142,37.7859342572,1
25,-122.470190416,37.7808757917,2
26,-122.417997608,37.7769551138,1
27,-122.478349616,37.7513339692,2
28,-122.415781282,37.7588312135,0
29,-122.417964484,37.7586968166,0
30,-122.458860616,37.7812550935,2
31,-122.400916029,37.7854574903,4
32,-122.400916029,37.7854574903,4
33,-122.400916029,37.7854574903,4
34,-122.400916029,37.7854574903,4
35,-122.400916029,37.7854574903,4
36,-122.400916029,37.7854574903,4
37,-122.400916029,37.7854574903,4
38,-122.400916029,37.7854574903,4
39,-122.400916029,37.7854574903,4
40,-122.400916029,37.7854574903,4
41,-122.400916029,37.7854574903,4
42,-122.400916029,37.7854574903,4
43,-122.400916029,37.7854574903,4
44,-122.400916029,37.7854574903,4
45,-122.400916029,37.7854574903,4
46,-122.400916029,37.7854574903,4
47,-122.400916029,37.7854574903,4
48,-122.400916029,37.7854574903,4
49,-122.400916029,37.7854574903,4
50,-122.400916029,37.7854574903,4
51,-122.400916029,37.7854574903,4
52,-122.400916029,37.7854574903,4
53,-122.400916029,37.7854574903,4
54,-122.400916029,37.7854574903,4
55,-122.400916029,37.7854574903,4
56,-122.47548463,37.7383655655,5
57,-122.408231026,37.787359495,4
58,-122.418467748,37.787965257,1
59,-122.418467748,37.787965257,1
60,-122.417812559,37.7571005796,0
61,-122.417812559,37.7571005796,0
62,-122.41592985,37.7604330004,0
63,-122.41592985,37.7604330004,0
64,-122.418467748,37.787965257,1
65,-122.418467748,37.787965257,1
66,-122.41592985,37.7604330004,0
67,-122.414693065,37.7588955948,0
68,-122.418467748,37.787965257,1
69,-122.41592985,37.7604330004,0
70,-122.418467748,37.787965257,1
71,-122.418467748,37.787965257,1
72,-122.41592985,37.7604330004,0
73,-122.41592985,37.7604330004,0
74,-122.418467748,37.787965257,1
75,-122.418467748,37.787965257,1
76,-122.418467748,37.787965257,1
77,-122.418467748,37.787965257,1
78,-122.418467748,37.787965257,1
79,-122.418467748,37.787965257,1
80,-122.419360353,37.7618358012,0
81,-122.419360353,37.7618358012,0
82,-122.418486297,37.7634954373,0
83,-122.41592985,37.7604330004,0
84,-122.41592985,37.7604330004,0
85,-122.41592985,37.7604330004,0
86,-122.41592985,37.7604330004,0
87,-122.41592985,37.7604330004,0
88,-122.41592985,37.7604330004,0
89,-122.41592985,37.7604330004,0
90,-122.418467748,37.787965257,1
91,-122.409876623,37.787148808,4
92,-122.418467748,37.787965257,1
93,-122.41592985,37.7604330004,0
94,-122.41592985,37.7604330004,0
95,-122.41592985,37.7604330004,0
96,-122.41592985,37.7604330004,0
97,-122.41592985,37.7604330004,0
98,-122.418368839,37.7874861572,1
99,-122.418467748,37.787965257,1
100,-122.418274172,37.7870372044,1
101,-122.426635077,37.7549624154,0
102,-122.417332583,37.7635718956,0
103,-122.383433949,37.729738145,3
104,-122.417812559,37.7571005796,0
105,-122.412502864,37.7590272974,0
106,-122.406775392,37.7884982866,4
107,-122.40840386,37.7882933915,4
108,-122.405466576,37.7646048757,0
109,-122.417964484,37.7586968166,0
110,-122.417903978,37.7851670876,1
111,-122.409876623,37.787148808,4
112,-122.412173946,37.7629167767,0
113,-122.411090795,37.7617009782,0
114,-122.403409085,37.7531779939,0
115,-122.41766064,37.755504342,0
116,-122.414233849,37.7540986882,0
117,-122.395565262,37.7626384173,0
118,-122.385001534,37.7330708174,3
119,-122.441811628,37.7990019437,1
120,-122.469628051,37.7817199969,2
121,-122.504883711,37.7530422086,2
122,-122.481592052,37.7427355501,2
123,-122.490170247,37.7424682354,2
124,-122.408384276,37.7878271137,4
125,-122.409925328,37.787764099,4
126,-122.408384276,37.7878271137,4
127,-122.413045094,37.7589402059,0
128,-122.412179604,37.7622630617,0
129,-122.405468776,37.7639259195,0
130,-122.418445946,37.7882184508,1
131,-122.392347672,37.7890603556,4
132,-122.409256096,37.7882398998,4
133,-122.410519782,37.7527667267,0
134,-122.434457354,37.7609766091,0
135,-122.405468776,37.7639259195,0
136,-122.405468776,37.7639259195,0
137,-122.404828019,37.7897596938,4
138,-122.41027135,37.7895016292,4
139,-122.410791678,37.783695227,4
140,-122.412422725,37.7648250318,0
141,-122.42480864,37.798391758,1
142,-122.412439198,37.787722739,1
143,-122.50966216,37.763035554,2
144,-122.50966216,37.763035554,2
145,-122.50966216,37.763035554,2
146,-122.50966216,37.763035554,2
147,-122.50966216,37.763035554,2
148,-122.50966216,37.763035554,2
149,-122.50966216,37.763035554,2
150,-122.50966216,37.763035554,2
151,-122.50966216,37.763035554,2
152,-122.400916029,37.7854574903,4
153,-122.400916029,37.7854574903,4
154,-122.404195425,37.7912255174,4
155,-122.41382007,37.785738295,1
156,-122.41382007,37.785738295,1
157,-122.406886504,37.7887345764,4
158,-122.406886504,37.7887345764,4
159,-122.406886504,37.7887345764,4
160,-122.406886504,37.7887345764,4
161,-122.406886504,37.7887345764,4
162,-122.406886504,37.7887345764,4
163,-122.406886504,37.7887345764,4
164,-122.406886504,37.7887345764,4
165,-122.406886504,37.7887345764,4
166,-122.410699658,37.7869881885,4
167,-122.406886504,37.7887345764,4
168,-122.406886504,37.7887345764,4
169,-122.406886504,37.7887345764,4
170,-122.406886504,37.7887345764,4
171,-122.406886504,37.7887345764,4
172,-122.406886504,37.7887345764,4
173,-122.406886504,37.7887345764,4
174,-122.406886504,37.7887345764,4
175,-122.406886504,37.7887345764,4
176,-122.406886504,37.7887345764,4
177,-122.406886504,37.7887345764,4
178,-122.406886504,37.7887345764,4
179,-122.406886504,37.7887345764,4
180,-122.406886504,37.7887345764,4
181,-122.406886504,37.7887345764,4
182,-122.406886504,37.7887345764,4
183,-122.406886504,37.7887345764,4
184,-122.380028764,37.7320374278,3
185,-122.408384276,37.7878271137,4
186,-122.412755326,37.7867259286,1
187,-122.489090192,37.7424057567,2
188,-122.410111374,37.778632049,4
189,-122.411800135,37.7840890367,4
190,-122.422254495,37.7773983117,1
191,-122.403404791,37.7754207067,4
192,-122.410699658,37.7869881885,4
193,-122.410699658,37.7869881885,4
194,-122.410699658,37.7869881885,4
195,-122.410699658,37.7869881885,4
196,-122.410699658,37.7869881885,4
197,-122.410699658,37.7869881885,4
198,-122.410699658,37.7869881885,4
199,-122.410699658,37.7869881885,4
200,-122.410699658,37.7869881885,4
201,-122.410699658,37.7869881885,4
202,-122.400916029,37.7854574903,4
203,-122.400916029,37.7854574903,4
204,-122.400916029,37.7854574903,4
205,-122.400916029,37.7854574903,4
206,-122.400916029,37.7854574903,4
207,-122.410699658,37.7869881885,4
208,-122.410699658,37.7869881885,4
209,-122.410699658,37.7869881885,4
210,-122.410699658,37.7869881885,4
211,-122.410699658,37.7869881885,4
212,-122.410699658,37.7869881885,4
213,-122.410699658,37.7869881885,4
214,-122.410699658,37.7869881885,4
215,-122.410699658,37.7869881885,4
216,-122.410699658,37.7869881885,4
217,-122.410699658,37.7869881885,4
218,-122.410699658,37.7869881885,4
219,-122.410699658,37.7869881885,4
220,-122.410699658,37.7869881885,4
221,-122.410699658,37.7869881885,4
222,-122.410699658,37.7869881885,4
223,-122.410699658,37.7869881885,4
224,-122.419058868,37.7594227506,0
225,-122.419058868,37.7594227506,0
226,-122.418738266,37.7546172382,0
227,-122.423682814,37.796204621,1
228,-122.408384276,37.7878271137,4
229,-122.408384276,37.7878271137,4
230,-122.408384276,37.7878271137,4
231,-122.400916029,37.7854574903,4
232,-122.400916029,37.7854574903,4
233,-122.436194485,37.7227270384,3
234,-122.418562097,37.7841847091,1
235,-122.417812559,37.7571005796,0
236,-122.418467748,37.787965257,1
237,-122.418467748,37.787965257,1
238,-122.418467748,37.787965257,1
239,-122.417964484,37.7586968166,0
240,-122.417964484,37.7586968166,0
241,-122.417812559,37.7571005796,0
242,-122.419360353,37.7618358012,0
243,-122.417812559,37.7571005796,0
244,-122.417812559,37.7571005796,0
245,-122.417812559,37.7571005796,0
